time,x,y
0.0011436939239501953,702,85
0.011636495590209961,702,85
0.02260732650756836,702,85
0.033188819885253906,702,85
0.043737173080444336,702,85
0.05493497848510742,702,85
0.06534790992736816,702,85
0.07622432708740234,702,85
0.08677911758422852,702,85
0.09736108779907227,702,85
0.10848116874694824,702,85
0.11962223052978516,702,85
0.1307659149169922,702,85
0.14135122299194336,702,85
0.15220880508422852,702,85
0.16276335716247559,702,85
0.17324423789978027,702,85
0.18379521369934082,702,85
0.19436383247375488,702,85
0.205003023147583,702,85
0.2155606746673584,702,85
0.22615551948547363,702,85
0.23697352409362793,702,85
0.24754810333251953,702,85
0.2581639289855957,702,85
0.2689676284790039,702,85
0.27977490425109863,702,85
0.29041218757629395,702,85
0.30111265182495117,702,85
0.3117403984069824,702,85
0.3221457004547119,702,85
0.33273983001708984,702,85
0.34325408935546875,702,85
0.35414981842041016,702,85
0.36472249031066895,702,85
0.37561559677124023,702,85
0.3861854076385498,702,85
0.3967158794403076,702,85
0.4073052406311035,702,85
0.4184226989746094,702,85
0.4295215606689453,702,85
0.44063806533813477,702,85
0.4512209892272949,702,85
0.4623382091522217,702,85
0.4728548526763916,702,85
0.4831047058105469,702,85
0.49338388442993164,702,85
0.5036227703094482,702,85
0.5138986110687256,702,85
0.5243425369262695,709,89
0.5347976684570312,714,92
0.5452275276184082,724,101
0.555628776550293,729,107
0.5660672187805176,740,123
0.5764038562774658,744,132
0.586810827255249,756,156
0.5973329544067383,762,169
0.6077136993408203,775,192
0.6181797981262207,780,202
0.6286125183105469,790,217
0.6390583515167236,794,223
0.6495797634124756,803,232
0.6599812507629395,807,236
0.6704058647155762,812,242
0.6810135841369629,815,244
0.6914536952972412,819,248
0.7020750045776367,821,249
0.7124578952789307,823,250
0.7228624820709229,824,251
0.733281135559082,824,251
0.7435972690582275,825,252
0.7540724277496338,825,252
0.7643692493438721,825,252
0.7748274803161621,825,252
0.7851240634918213,825,252
0.7953794002532959,825,252
0.8056702613830566,825,252
0.8159101009368896,825,252
0.8261868953704834,825,252
0.8364243507385254,825,252
0.8467872142791748,823,250
0.8571665287017822,821,248
0.8674449920654297,813,243
0.8778154850006104,808,241
0.8881528377532959,792,236
0.8985395431518555,784,235
0.9088728427886963,766,234
0.9191710948944092,754,234
0.9296000003814697,726,238
0.9401834011077881,713,242
0.9506292343139648,670,261
0.9609980583190918,646,274
0.9714181423187256,604,306
0.981853723526001,585,324
0.9922122955322266,557,361
1.0026953220367432,547,377
1.0132873058319092,534,408
1.0239264965057373,530,420
1.0344340801239014,527,438
1.0448696613311768,526,448
1.0552895069122314,524,459
1.065678596496582,524,459
1.0763466358184814,524,459
1.0867867469787598,524,459
1.0974910259246826,524,459
1.107816457748413,524,459
1.1182143688201904,524,459
1.1287026405334473,524,459
1.1395440101623535,524,459
1.1501147747039795,524,459
1.160710334777832,524,459
1.1712877750396729,524,459
1.1818790435791016,524,459
1.192742109298706,524,459
1.2033240795135498,524,459
1.2144055366516113,524,459
1.225522756576538,524,459
1.2360215187072754,524,459
1.2465484142303467,524,459
1.2568905353546143,524,459
1.2673983573913574,524,459
1.2778863906860352,524,469
1.2885184288024902,526,481
1.2991514205932617,528,499
1.3098015785217285,529,512
1.3202557563781738,534,538
1.3307149410247803,540,571
1.3411517143249512,543,591
1.351609468460083,552,634
1.362107276916504,559,660
1.37253999710083,568,693
1.382988452911377,573,708
1.3933494091033936,584,732
1.4037859439849854,591,742
1.4142119884490967,605,758
1.4246573448181152,612,763
1.4350881576538086,625,772
1.4456627368927002,632,776
1.4561071395874023,650,783
1.4666225910186768,660,787
1.4769458770751953,681,794
1.4874727725982666,694,798
1.4979114532470703,720,804
1.5083975791931152,732,806
1.5187816619873047,755,810
1.5293185710906982,765,812
1.5396952629089355,783,814
1.5502915382385254,789,815
1.5608084201812744,802,814
1.5718746185302734,802,814
1.5824737548828125,802,814
1.5930609703063965,802,814
1.6036169528961182,802,814
1.6141235828399658,802,814
1.6248691082000732,802,814
1.6353564262390137,802,814
1.6459438800811768,802,814
1.657057523727417,802,814
1.6676397323608398,802,814
1.6782374382019043,802,814
