time,x,y
0.0011987686157226562,1241,50
0.011735916137695312,1241,50
0.022230148315429688,1241,50
0.03307175636291504,1241,50
0.04356837272644043,1241,50
0.05401134490966797,1241,50
0.06439733505249023,1241,50
0.07513904571533203,1241,50
0.08570575714111328,1241,50
0.09659290313720703,1241,50
0.1077415943145752,1241,50
0.11883544921875,1241,50
0.12993502616882324,1241,50
0.14106512069702148,1241,50
0.15217828750610352,1241,50
0.1633143424987793,1241,50
0.17442893981933594,1241,50
0.18557047843933105,1241,50
0.19669055938720703,1241,50
0.20737147331237793,1241,50
0.2184906005859375,1241,50
0.22959685325622559,1241,50
0.24016332626342773,1241,50
0.25076961517333984,1241,50
0.261289119720459,1241,50
0.27187204360961914,1241,50
0.2827587127685547,1241,50
0.2933337688446045,1241,50
0.3044114112854004,1241,50
0.3148202896118164,1241,50
0.3253638744354248,1241,50
0.33588147163391113,1241,50
0.34674882888793945,1241,50
0.35726070404052734,1241,50
0.3677406311035156,1241,50
0.3785386085510254,1241,50
0.38910794258117676,1237,51
0.3996448516845703,1231,53
0.41015005111694336,1218,59
0.42066192626953125,1206,64
0.43115830421447754,1199,68
0.44154882431030273,1184,77
0.45206689834594727,1178,82
0.46257829666137695,1161,95
0.47313499450683594,1152,102
0.4835994243621826,1130,118
0.49416613578796387,1119,127
0.5046195983886719,1090,148
0.5151443481445312,1073,159
0.5255920886993408,1040,179
0.536139965057373,1023,189
0.5467267036437988,990,203
0.557274580001831,976,207
0.5677814483642578,950,215
0.578261137008667,932,218
0.5886690616607666,925,219
0.59920334815979,916,220
0.6097691059112549,914,220
0.6202707290649414,914,220
0.6307344436645508,914,220
0.6412959098815918,914,220
0.6518914699554443,914,220
0.6625750064849854,914,220
0.6731188297271729,914,220
0.6836163997650146,914,220
0.6942040920257568,914,220
0.7053191661834717,914,220
0.7164261341094971,914,220
0.7275404930114746,914,220
0.7386481761932373,914,220
0.7492566108703613,914,220
0.7598526477813721,914,220
0.7704513072967529,914,220
0.781517744064331,914,220
0.7920322418212891,914,220
0.8026001453399658,914,220
0.8136944770812988,914,220
0.8244972229003906,914,220
0.8353190422058105,914,220
0.8463904857635498,914,220
0.8569176197052002,914,220
0.8674778938293457,914,220
0.8783969879150391,914,220
0.888972282409668,914,220
0.8995256423950195,914,220
0.9105253219604492,914,220
0.9214284420013428,914,220
0.9325711727142334,914,220
0.9436905384063721,914,220
0.9542748928070068,914,220
0.965367317199707,914,220
0.976489782333374,914,220
0.9870610237121582,914,220
0.9981598854064941,914,220
1.0092833042144775,914,220
1.0198168754577637,914,220
1.0309231281280518,914,220
1.0414390563964844,914,220
1.051790475845337,914,220
1.0621886253356934,914,220
1.072582721710205,914,220
1.0830843448638916,908,223
1.0935566425323486,903,226
1.10398530960083,888,232
1.1146278381347656,879,235
1.1251962184906006,858,241
1.1357228755950928,847,244
1.1462171077728271,823,251
1.1567776203155518,797,262
1.1672840118408203,781,271
1.1777706146240234,752,286
1.1882143020629883,739,292
1.198685646057129,721,304
1.2091176509857178,712,310
1.2195565700531006,695,324
1.2301506996154785,689,331
1.2405550479888916,676,343
1.250997543334961,671,349
1.2615289688110352,663,362
1.272014856338501,658,370
1.2825336456298828,652,385
1.2930068969726562,650,393
1.3034162521362305,646,406
1.313934326171875,645,412
1.3243293762207031,643,425
1.3349337577819824,643,430
1.345435619354248,644,443
1.3559672832489014,645,449
1.3664116859436035,646,461
1.3768401145935059,648,473
1.3872873783111572,649,479
1.397719144821167,652,494
1.4081628322601318,653,502
1.418565273284912,656,516
1.4289608001708984,658,523
1.4393432140350342,661,537
1.4497878551483154,663,544
1.4602253437042236,668,558
1.4706623554229736,670,565
1.481079339981079,675,576
1.4915227890014648,678,582
1.501957893371582,684,593
1.512434482574463,687,598
1.5227892398834229,694,610
1.5332386493682861,697,615
1.5437309741973877,702,624
1.5541110038757324,705,628
1.5645337104797363,710,634
1.5752215385437012,713,638
1.5856497287750244,721,644
1.596269130706787,725,647
1.6065459251403809,735,654
1.6172206401824951,740,657
1.6276977062225342,751,664
1.6381421089172363,761,671
1.648667812347412,767,675
1.6591684818267822,778,682
1.6698012351989746,785,687
1.6803381443023682,799,696
1.6908774375915527,805,700
1.701357364654541,816,708
1.7118818759918213,822,711
1.722353219985962,833,715
1.7334859371185303,839,717
1.744102954864502,851,720
