X-pos,Y-pos
"(411, 560)"
"(408, 569)"
"(406, 578)"
"(402, 591)"
"(401, 600)"
"(399, 612)"
"(399, 622)"
"(398, 648)"
"(400, 673)"
"(431, 784)"
"(434, 791)"
"(440, 802)"
"(448, 816)"
"(454, 826)"
"(462, 836)"
"(469, 847)"
"(479, 856)"
"(487, 863)"
"(503, 875)"
"(511, 881)"
"(531, 895)"
"(543, 902)"
"(552, 908)"
"(568, 917)"
"(575, 921)"
"(586, 928)"
"(597, 935)"
"(612, 941)"
"(623, 946)"
"(635, 951)"
"(647, 955)"
"(664, 959)"
"(686, 963)"
"(699, 966)"
"(713, 968)"
"(727, 969)"
"(740, 971)"
"(760, 973)"
"(781, 973)"
"(794, 975)"
"(811, 976)"
"(826, 976)"
"(840, 977)"
"(861, 978)"
"(897, 979)"
"(913, 980)"
"(930, 980)"
"(965, 980)"
"(987, 980)"
"(1021, 978)"
"(1044, 977)"
"(1061, 976)"
"(1088, 974)"
"(1112, 971)"
"(1145, 966)"
"(1163, 963)"
"(1186, 957)"
"(1195, 955)"
"(1225, 946)"
"(1241, 940)"
"(1259, 933)"
"(1276, 925)"
"(1293, 916)"
"(1316, 904)"
"(1335, 892)"
"(1354, 880)"
"(1373, 868)"
"(1400, 848)"
"(1424, 827)"
"(1461, 796)"
"(1490, 769)"
"(1513, 748)"
"(1528, 735)"
"(1597, 675)"
"(1619, 655)"
"(1641, 635)"
"(1670, 605)"
"(1689, 583)"
"(1700, 568)"
"(1711, 549)"
"(1718, 535)"
"(1722, 521)"
"(1725, 509)"
"(1727, 497)"
"(1727, 482)"
"(1725, 471)"
"(1721, 461)"
"(1717, 451)"
"(1704, 427)"
"(1698, 417)"
"(1693, 407)"
"(1685, 399)"
"(1678, 386)"
"(1666, 372)"
"(1553, 297)"
"(1542, 291)"
"(1523, 284)"
"(1512, 280)"
"(1502, 277)"
"(1488, 273)"
"(1478, 271)"
"(1468, 268)"
"(1457, 268)"
"(1438, 267)"
"(1412, 265)"
"(1390, 264)"
"(1375, 264)"
"(1360, 263)"
"(1339, 263)"
"(1323, 262)"
"(1301, 261)"
"(1284, 261)"
"(1267, 261)"
"(1228, 260)"
"(1207, 259)"
"(1192, 259)"
"(1171, 258)"
"(1137, 257)"
"(1114, 257)"
"(1096, 257)"
"(1073, 257)"
"(1048, 257)"
"(1030, 257)"
"(1004, 259)"
"(980, 260)"
"(963, 262)"
"(952, 263)"
"(918, 266)"
"(884, 272)"
"(864, 277)"
"(845, 282)"
"(824, 288)"
"(803, 295)"
